List of Battle Hall Pokémon,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon in this group have base stat totals below 340 and may appear during a battle from Rank 1 to Rank 5 for a certain type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total below 340.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
324,Torkoal ,Torkoal ,White Herb White Herb ,Overheat ,Body Slam ,Earth Power ,Stone Edge ,Quiet ,- ,252,- ,252,- ,-
326,Grumpig ,Grumpig ,Wise Glasses Wise Glasses ,Psychic ,Power Gem ,Energy Ball ,Focus Blast ,Modest ,- ,- ,- ,252,252,-
332,Cacturne ,Cacturne ,Metronome Metronome ,Sucker Punch ,Needle Arm ,Drain Punch ,Thunder Punch ,Adamant ,- ,252,- ,- ,252,-
334,Altaria ,Altaria ,Leftovers Leftovers ,Dragon Pulse ,Air Cutter ,Flamethrower ,Ominous Wind ,Modest ,- ,- ,- ,252,- ,252
335,Zangoose ,Zangoose ,Razor Claw Razor Claw ,Crush Claw ,Shadow Claw ,Close Combat ,Fire Punch ,Adamant ,- ,252,- ,- ,- ,252
336,Seviper ,Seviper ,Leftovers Leftovers ,Poison Fang ,Night Slash ,Aqua Tail ,Iron Tail ,Adamant ,- ,252,252,- ,- ,-
337,Lunatone ,Lunatone ,Wise Glasses Wise Glasses ,Psychic ,Ancient Power ,Signal Beam ,Earth Power ,Modest ,- ,- ,- ,252,- ,252
338,Solrock ,Solrock ,Muscle Band Muscle Band ,Stone Edge ,Zen Headbutt ,Earthquake ,Iron Head ,Adamant ,- ,252,- ,- ,- ,252
340,Whiscash ,Whiscash ,Lax Incense Lax Incense ,Earth Power ,Water Pulse ,Future Sight ,Blizzard ,Quiet ,- ,- ,- ,252,252,-
342,Crawdaunt ,Crawdaunt ,Quick Claw Quick Claw ,Crunch ,Crabhammer ,Body Slam ,Aerial Ace ,Adamant ,- ,252,252,- ,- ,-
346,Cradily ,Cradily ,Big Root Big Root ,Ancient Power ,Giga Drain ,Sludge Bomb ,Earth Power ,Modest ,- ,- ,252,252,- ,-
348,Armaldo ,Armaldo ,Razor Claw Razor Claw ,X-Scissor ,Stone Edge ,Aqua Tail ,Aerial Ace ,Adamant ,- ,252,252,- ,- ,-
352,Kecleon ,Kecleon ,Expert Belt Expert Belt ,Dizzy Punch ,Drain Punch ,Shadow Claw ,Aerial Ace ,Jolly ,- ,252,- ,- ,- ,252
354,Banette ,Banette ,Wise Glasses Wise Glasses ,Shadow Claw ,Sucker Punch ,Thunderbolt ,Icy Wind ,Lonely ,- ,252,- ,252,- ,-
356,Dusclops ,Dusclops ,Quick Claw Quick Claw ,Shadow Punch ,Ice Punch ,Thunder Punch ,Fire Punch ,Adamant ,252,252,- ,- ,- ,-
357,Tropius ,Tropius ,White Herb White Herb ,Leaf Storm ,Air Slash ,Twister ,Ominous Wind ,Modest ,252,- ,- ,252,- ,-
359,Absol ,Absol ,Focus Sash Focus Sash ,Psycho Cut ,Night Slash ,Shadow Claw ,Slash ,Jolly ,- ,252,- ,- ,- ,252
362,Glalie ,Glalie ,Lum Berry Lum Berry ,Ice Beam ,Dark Pulse ,Water Pulse ,Signal Beam ,Modest ,- ,- ,- ,252,- ,252
367,Huntail ,Huntail ,Muscle Band Muscle Band ,Aqua Tail ,Crunch ,Body Slam ,Bounce ,Adamant ,- ,252,- ,- ,252,-
368,Gorebyss ,Gorebyss ,Wise Glasses Wise Glasses ,Psychic ,Brine ,Signal Beam ,Shadow Ball ,Modest ,- ,- ,- ,252,252,-
369,Relicanth ,Relicanth ,Shell Bell Shell Bell ,Head Smash ,Aqua Tail ,Earth Power ,Double-Edge ,Brave ,252,252,- ,- ,- ,-
398,Staraptor ,Staraptor ,Liechi Berry Liechi Berry ,Brave Bird ,Close Combat ,Quick Attack ,U-turn ,Adamant ,- ,252,- ,- ,- ,252
409,Rampardos ,Rampardos ,Shell Bell Shell Bell ,Head Smash ,Zen Headbutt ,Avalanche ,Fire Punch ,Adamant ,252,252,- ,- ,- ,-
411,Bastiodon ,Bastiodon ,Quick Claw Quick Claw ,Metal Burst ,Blizzard ,Thunder ,Fire Blast ,Quiet ,252,- ,- ,252,- ,-
416,Vespiquen ,Vespiquen ,BrightPowder BrightPowder ,Power Gem ,Attack Order ,Ominous Wind ,Air Cutter ,Brave ,- ,252,- ,252,- ,-
419,Floatzel ,Floatzel ,Liechi Berry Liechi Berry ,Waterfall ,Crunch ,Ice Punch ,Brick Break ,Adamant ,- ,252,- ,- ,- ,252
421,Cherrim ,Cherrim ,Heat Rock Heat Rock ,Sunny Day ,Solar Beam ,Synthesis ,Return ,Naive ,- ,- ,- ,252,- ,252
423,Gastrodon ,Gastrodon ,Lax Incense Lax Incense ,Muddy Water ,Earth Power ,Blizzard ,Sludge Bomb ,Modest ,252,- ,- ,252,- ,-
424,Ambipom ,Ambipom ,Expert Belt Expert Belt ,Double Hit ,Shock Wave ,Aerial Ace ,Water Pulse ,Naughty ,- ,252,- ,252,- ,-
426,Drifblim ,Drifblim ,Petaya Berry Petaya Berry ,Shadow Ball ,Psychic ,Thunderbolt ,Air Cutter ,Modest ,- ,- ,- ,252,- ,252
428,Lopunny ,Lopunny ,Sticky Barb Sticky Barb ,Switcheroo ,Dizzy Punch ,Bounce ,Protect ,Jolly ,- ,252,- ,- ,- ,252
429,Mismagius ,Mismagius ,Petaya Berry Petaya Berry ,Shadow Ball ,Energy Ball ,Thunderbolt ,Psychic ,Modest ,- ,- ,- ,252,- ,252
432,Purugly ,Purugly ,King's Rock King's Rock ,Body Slam ,Shadow Claw ,U-turn ,Iron Tail ,Adamant ,- ,252,252,- ,- ,-
435,Skuntank ,Skuntank ,Expert Belt Expert Belt ,Flamethrower ,Poison Jab ,Dark Pulse ,Iron Tail ,Naughty ,- ,252,- ,252,- ,-
442,Spiritomb ,Spiritomb ,Petaya Berry Petaya Berry ,Dark Pulse ,Ominous Wind ,Silver Wind ,Icy Wind ,Modest ,252,- ,- ,252,- ,-
454,Toxicroak ,Toxicroak ,Liechi Berry Liechi Berry ,Poison Jab ,Revenge ,Bullet Punch ,X-Scissor ,Brave ,- ,252,252,- ,- ,-
455,Carnivine ,Carnivine ,Leftovers Leftovers ,Power Whip ,Crunch ,Ingrain ,Leech Seed ,Adamant ,252,252,- ,- ,- ,-
457,Lumineon ,Lumineon ,BrightPowder BrightPowder ,Silver Wind ,Ominous Wind ,Water Pulse ,Air Cutter ,Timid ,- ,- ,- ,252,- ,252
460,Abomasnow ,Abomasnow ,Sitrus Berry Sitrus Berry ,Wood Hammer ,Avalanche ,Brick Break ,Iron Tail ,Adamant ,252,252,- ,- ,- ,-
478,Froslass ,Froslass ,BrightPowder BrightPowder ,Hail ,Blizzard ,Ominous Wind ,Psychic ,Calm ,- ,- ,- ,252,- ,252
479,Rotom ,Rotom ,Petaya Berry Petaya Berry ,Shadow Ball ,Thunderbolt ,Signal Beam ,Swift ,Timid ,- ,- ,- ,252,- ,252
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Group 4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon from this list have a Base Stat Total of 500 or higher and will only start appearing at Rank 9.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total of 500 or higher. Additionally, she will always use a Pokémon from this list when challenged for the Gold Print.",,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
HP ,Attack ,Defense ,Sp. Atk ,Sp. Def ,Speed,,,,,,,,,
3,Venusaur ,Venusaur ,Focus Sash Focus Sash ,Toxic ,Frenzy Plant ,Sludge ,Protect ,Quiet ,- ,252,- ,252,- ,-
6,Charizard ,Charizard ,Focus Sash Focus Sash ,Will-O-Wisp ,Air Slash ,Protect ,Blast Burn ,Quiet ,- ,252,- ,252,- ,-
9,Blastoise ,Blastoise ,Focus Sash Focus Sash ,Yawn ,Hydro Cannon ,Return ,Protect ,Quiet ,- ,- ,- ,252,252,-
38,Ninetales ,Ninetales ,White Herb White Herb ,Will-O-Wisp ,Confuse Ray ,Quick Attack ,Overheat ,Mild ,- ,- ,- ,252,- ,252
55,Golduck ,Golduck ,Petaya Berry Petaya Berry ,Brine ,Aqua Jet ,Hydro Pump ,Return ,Mild ,- ,- ,- ,252,- ,252
59,Arcanine ,Arcanine ,Razor Claw Razor Claw ,Extreme Speed ,Flare Blitz ,Facade ,Will-O-Wisp ,Adamant ,- ,252,- ,- ,- ,252
62,Poliwrath ,Poliwrath ,Zoom Lens Zoom Lens ,Focus Blast ,Surf ,Hypnosis ,Vacuum Wave ,Quiet ,- ,- ,252,252,- ,-
68,Machamp ,Machamp ,Focus Band Focus Band ,Dynamic Punch ,Vacuum Wave ,Foresight ,Revenge ,Brave ,- ,252,252,- ,- ,-
73,Tentacruel ,Tentacruel ,BrightPowder BrightPowder ,Waterfall ,Poison Jab ,Toxic ,Dive ,Adamant ,- ,252,- ,- ,252,-
78,Rapidash ,Rapidash ,Razor Fang Razor Fang ,Flare Blitz ,Quick Attack ,Stomp ,Overheat ,Lonely ,- ,252,- ,252,- ,-
89,Muk ,Muk ,Black Sludge Black Sludge ,Gunk Shot ,Frustration ,Toxic ,Acid Armor ,Careful ,- ,- ,252,- ,252,-
91,Cloyster ,Cloyster ,Scope Lens Scope Lens ,Ice Beam ,Iron Defense ,Spike Cannon ,Brine ,Rash ,- ,252,- ,252,- ,-
94,Gengar ,Gengar ,Razor Fang Razor Fang ,Shadow Ball ,Sludge Bomb ,Hypnosis ,Nightmare ,Timid ,- ,- ,- ,252,- ,252
103,Exeggutor ,Exeggutor ,Liechi Berry Liechi Berry ,Wood Hammer ,Zen Headbutt ,Rest ,Sleep Talk ,Adamant ,252,252,- ,- ,- ,-
121,Starmie ,Starmie ,BrightPowder BrightPowder ,Hydro Pump ,Psychic ,Recover ,Double Team ,Timid ,- ,- ,- ,252,- ,252
123,Scyther ,Scyther ,Focus Sash Focus Sash ,X-Scissor ,Aerial Ace ,Swords Dance ,Quick Attack ,Jolly ,- ,252,- ,- ,- ,252
127,Pinsir ,Pinsir ,Salac Berry Salac Berry ,X-Scissor ,Giga Impact ,Swords Dance ,Quick Attack ,Jolly ,- ,252,- ,- ,- ,252
130,Gyarados ,Gyarados ,Life Orb Life Orb ,Bounce ,Waterfall ,Dragon Dance ,Brine ,Lonely ,- ,252,- ,- ,- ,252
131,Lapras ,Lapras ,Lum Berry Lum Berry ,Blizzard ,Surf ,Rest ,Sleep Talk ,Modest ,252,- ,- ,252,- ,-
134,Vaporeon ,Vaporeon ,Expert Belt Expert Belt ,Surf ,Quick Attack ,Aqua Ring ,Yawn ,Mild ,252,- ,- ,252,- ,-
135,Jolteon ,Jolteon ,Expert Belt Expert Belt ,Discharge ,Quick Attack ,Double Team ,Thunder Wave ,Rash ,- ,- ,- ,252,- ,252
136,Flareon ,Flareon ,Expert Belt Expert Belt ,Lava Plume ,Quick Attack ,Protect ,Will-O-Wisp ,Mild ,- ,- ,- ,252,- ,-
142,Aerodactyl ,Aerodactyl ,Leftovers Leftovers ,Stone Edge ,Aerial Ace ,Sandstorm ,Fly ,Adamant ,- ,252,- ,- ,- ,252
143,Snorlax ,Snorlax ,Choice Band Choice Band ,Crunch ,Giga Impact ,Zen Headbutt ,Brick Break ,Brave ,- ,252,252,- ,- ,-
144,Articuno ,Articuno ,Apicot Berry Apicot Berry ,Blizzard ,Air Cutter ,Reflect ,Roost ,Modest ,- ,- ,252,252,- ,-
145,Zapdos ,Zapdos ,Ganlon Berry Ganlon Berry ,Thunder ,Air Cutter ,Light Screen ,Roost ,Modest ,- ,- ,- ,252,252,-
146,Moltres ,Moltres ,Razor Claw Razor Claw ,Fire Blast ,Air Cutter ,Sky Attack ,Roost ,Modest ,- ,- ,252,252,- ,-
149,Dragonite ,Dragonite ,Lum Berry Lum Berry ,Roost ,Outrage ,Aerial Ace ,Dragon Dance ,Adamant ,- ,252,- ,- ,- ,252
154,Meganium ,Meganium ,Focus Sash Focus Sash ,Energy Ball ,Magical Leaf ,Body Slam ,Counter ,Quiet ,252,- ,- ,252,- ,-
157,Typhlosion ,Typhlosion ,White Herb White Herb ,Eruption ,Quick Attack ,Overheat ,Swift ,Timid ,- ,- ,- ,252,- ,252
160,Feraligatr ,Feraligatr ,Salac Berry Salac Berry ,Aqua Tail ,Slash ,Endure ,Rain Dance ,Naive ,- ,252,- ,- ,- ,252
169,Crobat ,Crobat ,BrightPowder BrightPowder ,Brave Bird ,Cross Poison ,Double Team ,Toxic ,Jolly ,- ,252,- ,- ,- ,252
181,Ampharos ,Ampharos ,Light Clay Light Clay ,Light Screen ,Rest ,Thunder ,Snore ,Quiet ,- ,- ,252,252,- ,-
186,Politoed ,Politoed ,Lax Incense Lax Incense ,Hyper Voice ,Surf ,Rest ,Snore ,Modest ,- ,- ,- ,252,- ,252
196,Espeon ,Espeon ,BrightPowder BrightPowder ,Psychic ,Swift ,Double Team ,Morning Sun ,Modest ,- ,- ,- ,252,- ,252
197,Umbreon ,Umbreon ,Leftovers Leftovers ,Facade ,Sucker Punch ,Confuse Ray ,Moonlight ,Relaxed ,- ,- ,252,- ,252,-
208,Steelix ,Steelix ,Iron Ball Iron Ball ,Gyro Ball ,Dig ,Sandstorm ,Curse ,Brave ,- ,252,252,- ,- ,-
212,Scizor ,Scizor ,Focus Sash Focus Sash ,Swords Dance ,X-Scissor ,Counter ,Bullet Punch ,Brave ,252,252,- ,- ,- ,-
213,Shuckle ,Shuckle ,Smooth Rock Smooth Rock ,Bug Bite ,Rollout ,Sandstorm ,Protect ,Careful ,252,- ,- ,- ,252,-
214,Heracross ,Heracross ,Salac Berry Salac Berry ,Megahorn ,Close Combat ,Facade ,Reversal ,Jolly ,- ,252,- ,- ,- ,252
217,Ursaring ,Ursaring ,Focus Band Focus Band ,Frustration ,Rest ,Sleep Talk ,Thunder Punch ,Adamant ,- ,252,252,- ,- ,-
229,Houndoom ,Houndoom ,Choice Scarf Choice Scarf ,Dark Pulse ,Flamethrower ,Crunch ,Fire Fang ,Mild ,- ,252,- ,252,- ,-
230,Kingdra ,Kingdra ,Scope Lens Scope Lens ,Dragon Pulse ,Hydro Pump ,Yawn ,Brine ,Modest ,- ,- ,- ,252,- ,252
232,Donphan ,Donphan ,Leftovers Leftovers ,Earthquake ,Giga Impact ,Protect ,Sandstorm ,Adamant ,- ,252,252,- ,- ,-
233,Porygon2 ,Porygon2 ,Quick Claw Quick Claw ,Tri Attack ,Return ,Psychic ,Zen Headbutt ,Rash ,- ,252,- ,252,- ,-
242,Blissey ,Blissey ,Lum Berry Lum Berry ,Return ,Soft-Boiled ,Fire Blast ,Minimize ,Sassy ,- ,- ,252,- ,252,-
243,Raikou ,Raikou ,Scope Lens Scope Lens ,Thunder ,Quick Attack ,Reflect ,Thunder Fang ,Naive ,- ,- ,- ,252,- ,252
244,Entei ,Entei ,Quick Claw Quick Claw ,Eruption ,Rock Climb ,Flamethrower ,Fire Fang ,Rash ,- ,- ,- ,252,- ,252
245,Suicune ,Suicune ,Sitrus Berry Sitrus Berry ,Mirror Coat ,Facade ,Hydro Pump ,Reflect ,Bold ,- ,- ,252,- ,252,-
248,Tyranitar ,Tyranitar ,Quick Claw Quick Claw ,Stone Edge ,Crunch ,Dark Pulse ,Ancient Power ,Brave ,- ,252,- ,252,- ,-
254,Sceptile ,Sceptile ,Scope Lens Scope Lens ,Leaf Blade ,Quick Attack ,Leaf Storm ,Grass Knot ,Naughty ,- ,252,- ,- ,- ,252
257,Blaziken ,Blaziken ,Liechi Berry Liechi Berry ,Blaze Kick ,Sky Uppercut ,Focus Blast ,Quick Attack ,Lonely ,- ,252,- ,- ,- ,252
260,Swampert ,Swampert ,BrightPowder BrightPowder ,Muddy Water ,Mud Bomb ,Substitute ,Rest ,Quiet ,- ,- ,- ,252,252,-
282,Gardevoir ,Gardevoir ,Sticky Barb Sticky Barb ,Psychic ,Trick ,Swift ,Protect ,Timid ,- ,- ,- ,252,- ,252
289,Slaking ,Slaking ,Leftovers Leftovers ,Encore ,Counter ,Frustration ,Feint Attack ,Adamant ,- ,252,252,- ,- ,-
306,Aggron ,Aggron ,Zoom Lens Zoom Lens ,Stone Edge ,Iron Tail ,Metal Burst ,Sandstorm ,Adamant ,- ,252,252,- ,- ,-
321,Wailord ,Wailord ,BrightPowder BrightPowder ,Water Spout ,Sleep Talk ,Body Slam ,Rest ,Quiet ,252,- ,- ,252,- ,-
330,Flygon ,Flygon ,Wise Glasses Wise Glasses ,Earth Power ,Dragon Pulse ,Sandstorm ,Roost ,Modest ,- ,- ,- ,252,- ,252
344,Claydol ,Claydol ,Choice Scarf Choice Scarf ,Earth Power ,Psychic ,Earthquake ,Zen Headbutt ,Rash ,- ,252,- ,252,- ,-
350,Milotic ,Milotic ,Life Orb Life Orb ,Rest ,Sleep Talk ,Hydro Pump ,Facade ,Quiet ,- ,252,- ,252,- ,-
365,Walrein ,Walrein ,Icy Rock Icy Rock ,Blizzard ,Dive ,Hail ,Brine ,Quiet ,252,- ,- ,252,- ,-
488,Cresselia ,Cresselia ,Leftovers Leftovers ,Psychic ,Psycho Cut ,Slash ,Psycho Shift ,Lonely ,- ,252,- ,252,- ,-
373,Salamence ,Salamence ,Liechi Berry Liechi Berry ,Dragon Claw ,Aerial Ace ,Frustration ,Roost ,Adamant ,- ,252,- ,- ,- ,252
376,Metagross ,Metagross ,Quick Claw Quick Claw ,Meteor Mash ,Zen Headbutt ,Bullet Punch ,Light Screen ,Adamant ,- ,252,252,- ,- ,-
377,Regirock ,Regirock ,Sitrus Berry Sitrus Berry ,Stone Edge ,Ancient Power ,Giga Impact ,Thunder Wave ,Brave ,- ,252,- ,252,- ,-
378,Regice ,Regice ,Sitrus Berry Sitrus Berry ,Blizzard ,Avalanche ,Hyper Beam ,Thunder Wave ,Quiet ,- ,252,- ,252,- ,-
379,Registeel ,Registeel ,Sitrus Berry Sitrus Berry ,Iron Head ,Flash Cannon ,Giga Impact ,Thunder Wave ,Brave ,- ,252,- ,252,- ,-
380,Latias ,Latias ,Salac Berry Salac Berry ,Mist Ball ,Dragon Pulse ,Recover ,Captivate ,Modest ,- ,- ,- ,252,252,-
381,Latios ,Latios ,Salac Berry Salac Berry ,Luster Purge ,Dragon Pulse ,Recover ,Captivate ,Modest ,- ,- ,- ,252,252,-
389,Torterra ,Torterra ,Lax Incense Lax Incense ,Wood Hammer ,Mud-Slap ,Rest ,Sleep Talk ,Brave ,252,252,- ,- ,- ,-
392,Infernape ,Infernape ,Life Orb Life Orb ,Close Combat ,Flare Blitz ,Mach Punch ,Fake Out ,Adamant ,- ,252,- ,- ,- ,252
395,Empoleon ,Empoleon ,Petaya Berry Petaya Berry ,Flash Cannon ,Hydro Pump ,Aqua Jet ,Yawn ,Mild ,- ,- ,- ,252,252,-
405,Luxray ,Luxray ,King's Rock King's Rock ,Spark ,Thunderbolt ,Quick Attack ,Thunder Wave ,Naive ,- ,252,- ,- ,- ,252
407,Roserade ,Roserade ,White Herb White Herb ,Weather Ball ,Leaf Storm ,Protect ,Toxic ,Modest ,- ,- ,- ,252,- ,252
430,Honchkrow ,Honchkrow ,Quick Claw Quick Claw ,Dark Pulse ,Night Slash ,Drill Peck ,Air Cutter ,Lonely ,- ,252,- ,252,- ,-
437,Bronzong ,Bronzong ,Leftovers Leftovers ,Extrasensory ,Flash Cannon ,Trick Room ,Protect ,Quiet ,- ,- ,252,252,- ,-
445,Garchomp ,Garchomp ,Persim Berry Persim Berry ,Outrage ,Sandstorm ,Dig ,Twister ,Adamant ,- ,252,- ,- ,- ,252
448,Lucario ,Lucario ,Liechi Berry Liechi Berry ,Aura Sphere ,Focus Punch ,Extreme Speed ,Substitute ,Brave ,- ,252,- ,252,- ,-
450,Hippowdon ,Hippowdon ,Liechi Berry Liechi Berry ,Double-Edge ,Earthquake ,Yawn ,Slack Off ,Adamant ,- ,252,252,- ,- ,-
452,Drapion ,Drapion ,Razor Claw Razor Claw ,Cross Poison ,Night Slash ,Slash ,Acupressure ,Adamant ,- ,252,252,- ,- ,-
461,Weavile ,Weavile ,Focus Sash Focus Sash ,Night Slash ,Ice Punch ,Ice Shard ,Quick Attack ,Adamant ,- ,252,- ,- ,- ,252
462,Magnezone ,Magnezone ,Ganlon Berry Ganlon Berry ,Flash Cannon ,Tri Attack ,Thunder ,Mirror Coat ,Bold ,- ,- ,252,252,- ,-
463,Lickilicky ,Lickilicky ,Expert Belt Expert Belt ,Thunder Punch ,Ice Punch ,Fire Punch ,Body Slam ,Adamant ,- ,252,252,- ,- ,-
464,Rhyperior ,Rhyperior ,Quick Claw Quick Claw ,Rock Wrecker ,Earth Power ,Giga Impact ,Reversal ,Brave ,- ,252,252,- ,- ,-
465,Tangrowth ,Tangrowth ,Lax Incense Lax Incense ,Wring Out ,Grass Knot ,Sunny Day ,Solar Beam ,Lonely ,252,- ,- ,252,- ,-
466,Electivire ,Electivire ,Life Orb Life Orb ,Thunder Punch ,Giga Impact ,Discharge ,Quick Attack ,Naughty ,- ,252,- ,- ,- ,252
467,Magmortar ,Magmortar ,Lax Incense Lax Incense ,Fire Blast ,Hyper Beam ,SmokeScreen ,Protect ,Mild ,- ,- ,- ,252,- ,252
468,Togekiss ,Togekiss ,BrightPowder BrightPowder ,Air Slash ,Aura Sphere ,Thunder Wave ,Roost ,Modest ,- ,- ,- ,252,252,-
469,Yanmega ,Yanmega ,Petaya Berry Petaya Berry ,Bug Buzz ,Air Slash ,Endure ,Reversal ,Rash ,- ,- ,252,252,- ,-
470,Leafeon ,Leafeon ,Scope Lens Scope Lens ,Quick Attack ,Leaf Blade ,Grass Knot ,Razor Leaf ,Naughty ,- ,252,- ,- ,- ,252
471,Glaceon ,Glaceon ,Icy Rock Icy Rock ,Hail ,Blizzard ,Ice Shard ,Swift ,Rash ,- ,- ,- ,252,- ,252
472,Gliscor ,Gliscor ,Liechi Berry Liechi Berry ,Earthquake ,Sandstorm ,Aerial Ace ,Quick Attack ,Adamant ,- ,252,- ,- ,- ,252
473,Mamoswine ,Mamoswine ,Leftovers Leftovers ,Blizzard ,Hail ,Earth Power ,Amnesia ,Modest ,252,- ,- ,252,- ,-
474,Porygon-Z ,Porygon-Z ,Expert Belt Expert Belt ,Tri Attack ,Dark Pulse ,Psychic ,Signal Beam ,Modest ,- ,- ,- ,252,- ,252
475,Gallade ,Gallade ,Salac Berry Salac Berry ,Psycho Cut ,Close Combat ,Swords Dance ,Vacuum Wave ,Adamant ,- ,252,- ,- ,- ,252
476,Probopass ,Probopass ,Focus Band Focus Band ,Flash Cannon ,Power Gem ,Substitute ,Sandstorm ,Calm ,- ,- ,- ,252,252,-
477,Dusknoir ,Dusknoir ,Quick Claw Quick Claw ,Rest ,Curse ,Shadow Punch ,Brick Break ,Careful ,- ,- ,252,- ,252,-
480,Uxie ,Uxie ,Focus Band Focus Band ,Extrasensory ,Yawn ,Dream Eater ,Swift ,Bold ,- ,- ,252,- ,252,-
481,Mesprit ,Mesprit ,Light Clay Light Clay ,Extrasensory ,Light Screen ,Reflect ,Swift ,Timid ,- ,- ,- ,252,- ,252
482,Azelf ,Azelf ,Flame Orb Flame Orb ,Zen Headbutt ,Return ,Trick ,Facade ,Adamant ,- ,252,- ,- ,- ,252
485,Heatran ,Heatran ,Focus Band Focus Band ,Magma Storm ,Flash Cannon ,Lava Plume ,Metal Sound ,Modest ,- ,- ,- ,252,252,-
486,Regigigas ,Regigigas ,Lum Berry Lum Berry ,Zen Headbutt ,Confuse Ray ,Drain Punch ,Dizzy Punch ,Impish ,- ,252,252,- ,- ,-
